"","state","stateabb","year","rec","med","dec","ill","recballot","recint","medint","medyear","recyear","medyrs"
"1492","New Mexico","NM",1978,0,0,0,1,0,0,0,2007,2021,-29
"1493","New Mexico","NM",2002,0,0,0,1,0,0,0,2007,2021,-5
"1494","New Mexico","NM",2016,0,1,0,0,0,0,0,2007,2021,9
"1495","New Mexico","NM",1995,0,0,0,1,0,0,0,2007,2021,-12
"1496","New Mexico","NM",1974,0,0,0,1,0,0,0,2007,2021,-33
"1497","New Mexico","NM",1994,0,0,0,1,0,0,0,2007,2021,-13
"1498","New Mexico","NM",1983,0,0,0,1,0,0,0,2007,2021,-24
"1499","New Mexico","NM",2005,0,0,0,1,0,0,0,2007,2021,-2
"1500","New Mexico","NM",2000,0,0,0,1,0,0,0,2007,2021,-7
"1501","New Mexico","NM",1993,0,0,0,1,0,0,0,2007,2021,-14
"1502","New Mexico","NM",2012,0,1,0,0,0,0,0,2007,2021,5
"1503","New Mexico","NM",1979,0,0,0,1,0,0,0,2007,2021,-28
"1504","New Mexico","NM",2011,0,1,0,0,0,0,0,2007,2021,4
"1505","New Mexico","NM",2020,0,1,1,0,0,0,0,2007,2021,13
"1506","New Mexico","NM",2010,0,1,0,0,0,0,0,2007,2021,3
"1507","New Mexico","NM",1975,0,0,0,1,0,0,0,2007,2021,-32
"1508","New Mexico","NM",2007,0,1,0,0,0,0,1,2007,2021,0
"1509","New Mexico","NM",2008,0,1,0,0,0,0,0,2007,2021,1
"1510","New Mexico","NM",2006,0,0,0,1,0,0,0,2007,2021,-1
"1511","New Mexico","NM",1987,0,0,0,1,0,0,0,2007,2021,-20
"1512","New Mexico","NM",2015,0,1,0,0,0,0,0,2007,2021,8
"1513","New Mexico","NM",2019,0,1,1,0,0,0,0,2007,2021,12
"1514","New Mexico","NM",1980,0,0,0,1,0,0,0,2007,2021,-27
"1515","New Mexico","NM",2003,0,0,0,1,0,0,0,2007,2021,-4
"1516","New Mexico","NM",1992,0,0,0,1,0,0,0,2007,2021,-15
"1517","New Mexico","NM",1996,0,0,0,1,0,0,0,2007,2021,-11
"1518","New Mexico","NM",2017,0,1,0,0,0,0,0,2007,2021,10
"1519","New Mexico","NM",1988,0,0,0,1,0,0,0,2007,2021,-19
"1520","New York","NY",1990,0,0,1,0,0,0,0,2014,2021,-24
"1521","New York","NY",1999,0,0,1,0,0,0,0,2014,2021,-15
"1522","New York","NY",1996,0,0,1,0,0,0,0,2014,2021,-18
"1523","New York","NY",2019,0,1,1,0,0,0,0,2014,2021,5
"1524","New York","NY",1982,0,0,1,0,0,0,0,2014,2021,-32
"1525","New York","NY",1973,0,0,0,1,0,0,0,2014,2021,-41
"1526","New York","NY",2001,0,0,1,0,0,0,0,2014,2021,-13
"1527","New York","NY",2002,0,0,1,0,0,0,0,2014,2021,-12
"1528","New York","NY",1995,0,0,1,0,0,0,0,2014,2021,-19
"1529","New York","NY",2014,0,1,1,0,0,0,1,2014,2021,0
"1530","New York","NY",1983,0,0,1,0,0,0,0,2014,2021,-31
"1531","New York","NY",1984,0,0,1,0,0,0,0,2014,2021,-30
"1532","New York","NY",1994,0,0,1,0,0,0,0,2014,2021,-20
"1533","New York","NY",1977,0,0,1,0,0,0,0,2014,2021,-37
"1534","New York","NY",2021,1,1,1,0,0,1,0,2014,2021,7
"1535","New York","NY",1976,0,0,0,1,0,0,0,2014,2021,-38
"1536","New York","NY",2017,0,1,1,0,0,0,0,2014,2021,3
"1537","New York","NY",1989,0,0,1,0,0,0,0,2014,2021,-25
"1538","New York","NY",1978,0,0,1,0,0,0,0,2014,2021,-36
"1539","New York","NY",2020,0,1,1,0,0,0,0,2014,2021,6
"1540","New York","NY",1991,0,0,1,0,0,0,0,2014,2021,-23
"1541","New York","NY",1985,0,0,1,0,0,0,0,2014,2021,-29
"1542","New York","NY",2009,0,0,1,0,0,0,0,2014,2021,-5
"1543","New York","NY",2005,0,0,1,0,0,0,0,2014,2021,-9
"1544","New York","NY",1981,0,0,1,0,0,0,0,2014,2021,-33
"1545","New York","NY",1974,0,0,0,1,0,0,0,2014,2021,-40
"1546","New York","NY",2018,0,1,1,0,0,0,0,2014,2021,4
"1547","New York","NY",2003,0,0,1,0,0,0,0,2014,2021,-11
"1548","New York","NY",1986,0,0,1,0,0,0,0,2014,2021,-28
"1549","New York","NY",1979,0,0,1,0,0,0,0,2014,2021,-35
"1550","New York","NY",2010,0,0,1,0,0,0,0,2014,2021,-4
"1551","New York","NY",1992,0,0,1,0,0,0,0,2014,2021,-22
"1552","New York","NY",1975,0,0,0,1,0,0,0,2014,2021,-39
"1553","New York","NY",2016,0,1,1,0,0,0,0,2014,2021,2
"1554","New York","NY",2006,0,0,1,0,0,0,0,2014,2021,-8
"1555","New York","NY",2000,0,0,1,0,0,0,0,2014,2021,-14
"1556","New York","NY",1987,0,0,1,0,0,0,0,2014,2021,-27
"1557","New York","NY",2011,0,0,1,0,0,0,0,2014,2021,-3
"1558","New York","NY",2015,0,1,1,0,0,0,0,2014,2021,1
"1559","New York","NY",1988,0,0,1,0,0,0,0,2014,2021,-26
"1560","New York","NY",2004,0,0,1,0,0,0,0,2014,2021,-10
"1561","New York","NY",2007,0,0,1,0,0,0,0,2014,2021,-7
"1562","New York","NY",2008,0,0,1,0,0,0,0,2014,2021,-6
"1563","New York","NY",1997,0,0,1,0,0,0,0,2014,2021,-17
"1564","New York","NY",1998,0,0,1,0,0,0,0,2014,2021,-16
"1565","New York","NY",1993,0,0,1,0,0,0,0,2014,2021,-21
"1566","New York","NY",1980,0,0,1,0,0,0,0,2014,2021,-34
"1567","New York","NY",2013,0,0,1,0,0,0,0,2014,2021,-1
"1568","New York","NY",2012,0,0,1,0,0,0,0,2014,2021,-2
"1716","Oregon","OR",2004,0,1,1,0,1,0,0,1998,2014,6
"1717","Oregon","OR",2014,1,1,1,0,1,1,0,1998,2014,16
"1718","Oregon","OR",1995,0,0,1,0,1,0,0,1998,2014,-3
"1719","Oregon","OR",1977,0,0,1,0,1,0,0,1998,2014,-21
"1720","Oregon","OR",2000,0,1,1,0,1,0,0,1998,2014,2
"1721","Oregon","OR",2011,0,1,1,0,1,0,0,1998,2014,13
"1722","Oregon","OR",2015,1,1,1,0,1,0,0,1998,2014,17
"1723","Oregon","OR",2010,0,1,1,0,1,0,0,1998,2014,12
"1724","Oregon","OR",2002,0,1,1,0,1,0,0,1998,2014,4
"1725","Oregon","OR",1978,0,0,1,0,1,0,0,1998,2014,-20
